condition,gene_a,gene_b,pearson_r_de20,mse_de20,non_additivity,subgroup
CBL+PTPN9,CBL,PTPN9,0.9945707,0.024716783314943314,0.3900904357433319,combo_seen0
MAP2K6+SPI1,MAP2K6,SPI1,0.92720556,0.11831869184970856,1.480475902557373,combo_seen1
UBASH3B+PTPN12,UBASH3B,PTPN12,0.98353,0.06416366994380951,0.37201744318008423,combo_seen2
KLF1+FOXA1,KLF1,FOXA1,0.9881067,0.036202140152454376,0.5416960120201111,combo_seen2
TBX3+TBX2,TBX3,TBX2,0.9922852,0.058392781764268875,0.3737296760082245,combo_seen2
DUSP9+MAPK1,DUSP9,MAPK1,0.9678074,0.0773899108171463,1.2990342378616333,combo_seen1
CEBPE+KLF1,CEBPE,KLF1,0.96295094,0.0725206583738327,1.2798091173171997,combo_seen2
UBASH3B+OSR2,UBASH3B,OSR2,0.9944966,0.021367959678173065,1.1549112796783447,combo_seen1
UBASH3B+ZBTB25,UBASH3B,ZBTB25,0.98814887,0.043244220316410065,0.36238810420036316,combo_seen2
DUSP9+ETS2,DUSP9,ETS2,0.98603654,0.049496300518512726,0.5988577604293823,combo_seen1
ZNF318+FOXL2,ZNF318,FOXL2,0.99597704,0.02226189337670803,0.5105370879173279,combo_seen1
UBASH3B+PTPN9,UBASH3B,PTPN9,0.9908095,0.0530586764216423,0.39427420496940613,combo_seen1
JUN+CEBPA,JUN,CEBPA,0.9761922,0.01965215988457203,0.35201334953308105,combo_seen1
MAPK1+PRTG,MAPK1,PRTG,0.9699628,0.05424981564283371,0.8992387056350708,combo_seen1
MAP2K3+IKZF3,MAP2K3,IKZF3,0.99110746,0.05610869079828262,0.34246382117271423,combo_seen2
KLF1+COL2A1,KLF1,COL2A1,0.9852456,0.04892558604478836,0.5668554902076721,combo_seen1
PTPN12+OSR2,PTPN12,OSR2,0.9839661,0.013038177974522114,1.1972237825393677,combo_seen1
ETS2+CEBPE,ETS2,CEBPE,0.9834046,0.07514426112174988,0.48468413949012756,combo_seen2
POU3F2+FOXL2,POU3F2,FOXL2,0.99603015,0.023319490253925323,0.4217481017112732,combo_seen1
DUSP9+PRTG,DUSP9,PRTG,0.9911928,0.14438891410827637,0.3859855532646179,combo_seen0
BCL2L11+TGFBR2,BCL2L11,TGFBR2,0.9945018,0.008687199093401432,0.6542189121246338,combo_seen1
AHR+KLF1,AHR,KLF1,0.9902506,0.04398619383573532,0.5450996160507202,combo_seen2
CEBPB+CEBPA,CEBPB,CEBPA,0.9883285,0.12806406617164612,0.6327634453773499,combo_seen1
ETS2+CNN1,ETS2,CNN1,0.9922815,0.012037117034196854,0.5979396104812622,combo_seen2
CNN1+MAPK1,CNN1,MAPK1,0.983661,0.024366771802306175,0.627466082572937,combo_seen2
FOXL2+MEIS1,FOXL2,MEIS1,0.9992242,0.00619971938431263,0.4155087471008301,combo_seen0
FOSB+CEBPE,FOSB,CEBPE,0.97849286,0.05385342240333557,0.36922016739845276,combo_seen2
PTPN12+PTPN9,PTPN12,PTPN9,0.9945114,0.03035796247422695,0.35533592104911804,combo_seen1
FOSB+CEBPB,FOSB,CEBPB,0.9914621,0.016434116289019585,0.4581378102302551,combo_seen1
BCL2L11+BAK1,BCL2L11,BAK1,0.9987381,0.004705371800810099,1.0602022409439087,combo_seen1
FOXA3+HOXB9,FOXA3,HOXB9,0.99142784,0.03140801563858986,0.3700225055217743,combo_seen2
CEBPE+CNN1,CEBPE,CNN1,0.98469985,0.042765215039253235,0.8786506652832031,combo_seen2
ZC3HAV1+HOXC13,ZC3HAV1,HOXC13,0.9958935,0.018907565623521805,0.6816340684890747,combo_seen2
CBL+CNN1,CBL,CNN1,0.97059405,0.15944799780845642,0.44296547770500183,combo_seen1
ZBTB10+PTPN12,ZBTB10,PTPN12,0.9980135,0.01028747670352459,0.48583313822746277,combo_seen1
CBL+UBASH3B,CBL,UBASH3B,0.96436167,0.19304826855659485,0.4507291615009308,combo_seen1
CEBPB+PTPN12,CEBPB,PTPN12,0.99522597,0.01822986640036106,0.8136352300643921,combo_seen1
CEBPB+MAPK1,CEBPB,MAPK1,0.9787981,0.11299989372491837,0.5566219687461853,combo_seen1
ETS2+MAPK1,ETS2,MAPK1,0.97610724,0.10734347254037857,0.37423425912857056,combo_seen2
DUSP9+IGDCC3,DUSP9,IGDCC3,0.9888382,0.10338399559259415,0.3744794726371765,combo_seen1
CBL+PTPN12,CBL,PTPN12,0.99015856,0.04103720560669899,0.3386496901512146,combo_seen1
CEBPB+OSR2,CEBPB,OSR2,0.9877812,0.07377482205629349,0.4317724406719208,combo_seen0
SGK1+S1PR2,SGK1,S1PR2,0.9817953,0.07416938990354538,0.43816179037094116,combo_seen1
DUSP9+KLF1,DUSP9,KLF1,0.9925623,0.060118645429611206,0.32608264684677124,combo_seen1
FEV+ISL2,FEV,ISL2,0.9906519,0.054093874990940094,0.47673583030700684,combo_seen2
POU3F2+CBFA2T3,POU3F2,CBFA2T3,0.9966033,0.021611634641885757,0.504111111164093,combo_seen2
FOXA1+HOXB9,FOXA1,HOXB9,0.9938738,0.023251060396432877,0.39946600794792175,combo_seen2
CEBPE+SPI1,CEBPE,SPI1,0.9811702,0.06653715670108795,0.38484281301498413,combo_seen1
CBL+TGFBR2,CBL,TGFBR2,0.9955554,0.014591939747333527,0.4316389858722687,combo_seen1
FOXA1+FOXL2,FOXA1,FOXL2,0.99652815,0.013482029549777508,0.4704523980617523,combo_seen1
FOXF1+FOXL2,FOXF1,FOXL2,0.9908664,0.04865696281194687,0.49077215790748596,combo_seen1
ETS2+PRTG,ETS2,PRTG,0.9899613,0.019615376368165016,0.5934757590293884,combo_seen1
LYL1+CEBPB,LYL1,CEBPB,0.98996115,0.020170126110315323,0.6900940537452698,combo_seen1
DUSP9+SNAI1,DUSP9,SNAI1,0.9905668,0.056101202964782715,0.6099348068237305,combo_seen1
TGFBR2+PRTG,TGFBR2,PRTG,0.9956178,0.03439977020025253,0.38406506180763245,combo_seen1
FOSB+OSR2,FOSB,OSR2,0.9820254,0.033204302191734314,0.3288101255893707,combo_seen1
FOXL2+HOXB9,FOXL2,HOXB9,0.55309594,0.005325528793036938,0.3997640013694763,combo_seen1
ZBTB10+ELMSAN1,ZBTB10,ELMSAN1,0.9938925,0.030169878154993057,0.40677890181541443,combo_seen1
JUN+CEBPB,JUN,CEBPB,,0.0018698647618293762,0.4365471601486206,combo_seen0
ZBTB10+SNAI1,ZBTB10,SNAI1,,0.0007447338430210948,0.42838189005851746,combo_seen1
CEBPE+CEBPB,CEBPE,CEBPB,0.97077036,0.07253921031951904,0.4364843964576721,combo_seen1
PRDM1+CBFA2T3,PRDM1,CBFA2T3,0.9971,0.009812625125050545,0.5034359693527222,combo_seen1
FOXA3+FOXL2,FOXA3,FOXL2,0.99856746,0.007968058809638023,0.489223450422287,combo_seen1
CDKN1C+CDKN1B,CDKN1C,CDKN1B,0.9991184,0.023170849308371544,0.6195627450942993,combo_seen0
CDKN1C+CDKN1A,CDKN1C,CDKN1A,0.99954796,0.03103039786219597,0.5563596487045288,combo_seen0
ZBTB10+DLX2,ZBTB10,DLX2,,0.0010035287123173475,0.4740447402000427,combo_seen1
CBL+UBASH3A,CBL,UBASH3A,,0.0011191770900040865,0.6253896951675415,combo_seen1
SNAI1+DLX2,SNAI1,DLX2,0.97686386,0.01499914936721325,0.49432241916656494,combo_seen2
IGDCC3+PRTG,IGDCC3,PRTG,0.99093056,0.19971086084842682,0.6823651790618896,combo_seen1
CDKN1B+CDKN1A,CDKN1B,CDKN1A,0.99924564,0.0434565506875515,0.48755738139152527,combo_seen0
C3orf72+FOXL2,C3orf72,FOXL2,,0.002574047539383173,0.7986152172088623,combo_seen0
